day,policy,health,svi,eff_tss,flagged_frac,energy_kwh
15,ad,0.92,100.8,8.719999999999999,0.2,1040.0
16,ad,0.92,100.8,8.719999999999999,0.3,1040.0
17,ad,0.92,100.8,8.719999999999999,0.16666666666666666,1040.0
18,ad,0.92,100.8,8.719999999999999,0.36666666666666664,1040.0
19,ad,0.92,100.8,8.719999999999999,0.3,1040.0
20,ad,0.8600000000000001,102.82499999999999,9.229999999999999,0.36666666666666664,1047.4999999999998
21,ad,0.8024,106.794,10.229599999999998,0.3,1062.2
22,ad,0.747104,112.62924,11.699216,0.5333333333333333,1083.812
23,ad,0.6940198399999999,120.2560704,13.620047359999997,0.5,1112.0595199999998
24,ad,0.6430590463999999,127.577827584,15.464045465600002,0.4666666666666667,1139.1771392
25,ad,0.6467554657279999,132.83083061568001,16.787024006912002,0.3333333333333333,1158.632705984
26,ad,0.6496017086105599,136.12153295007363,17.615793483722243,0.4,1170.82049240768
27,ad,0.6517933156301311,137.5466781475567,17.974718940866126,0.23333333333333334,1176.0988079539136
28,ad,0.653480853035201,137.19494217361864,17.88613358446692,0.3,1174.7960821245135
29,ad,0.6547802568371047,136.92410547368635,17.817922860039527,0.43333333333333335,1173.7929832358752
30,ad,0.6557807977645707,136.7155612147385,17.76540060223044,0.4666666666666667,1173.020597091624
31,ad,0.6565512142787193,136.55498213534864,17.724958463717435,0.5666666666666667,1172.4258597605506
32,ad,0.6571444349946138,136.43133624421844,17.693818017062426,0.36666666666666664,1171.9679120156238
33,ad,0.6576012149458527,136.3361289080482,17.66983987313807,0.36666666666666664,1171.6152922520305
34,ad,0.6579529355083066,136.26281925919713,17.651376702316313,0.4,1171.3437750340634
35,ad,0.6582237603413962,136.20637082958177,17.63716006078356,0.3,1171.1347067762288
36,ad,0.6584322954628752,136.16290553877798,17.62621324680334,0.3,1170.9737242176961
37,ad,0.6585928675064139,136.12943726485904,17.61778420003857,0.4,1170.8497676476259
38,ad,0.7187165079799387,134.07866669394144,17.101293834029697,0.3,1163.254321088672
39,ad,0.7650117111445528,130.4745733543349,16.193596252202866,0.36666666666666664,1149.9058272382774
40,ad,0.8006590175813056,125.67442148283787,14.984669114196205,0.3,1132.1274869734737
41,ad,0.8281074435376053,119.95330454178516,13.543795217931077,0.4,1110.9381649695747
42,ad,0.8492427315239561,115.54804449717459,12.434322317806934,0.36666666666666664,1094.6223870265726
